lng,lat,v
119.516357,27.04824,6
119.52534,27.04824,7
119.534323,27.04824,6
119.543306,27.04824,6
119.55229,27.04824,6
119.561273,27.04824,6
119.570256,27.04824,6
119.579239,27.04824,4
119.588222,27.04824,5
119.597205,27.04824,5
119.606189,27.04824,5
119.615172,27.04824,6
119.624155,27.04824,6
119.633138,27.04824,7
119.642121,27.04824,7
119.651104,27.04824,8
119.660087,27.04824,8
119.669071,27.04824,8
119.678054,27.04824,7
119.687037,27.04824,7
119.69602,27.04824,5
119.705003,27.04824,4
119.713986,27.04824,4
119.785852,27.04824,4
119.857717,27.04824,4
119.8667,27.04824,4
119.875683,27.04824,4
120.190093,27.04824,4
120.199077,27.04824,4
120.20806,27.04824,5
120.217043,27.04824,6
120.226026,27.04824,6
120.235009,27.04824,7
120.243992,27.04824,8
120.252976,27.04824,9
120.261959,27.04824,12
120.270942,27.04824,19
120.279925,27.04824,21
120.288908,27.04824,21
120.297891,27.04824,15
120.306874,27.04824,10
120.315858,27.04824,8
120.324841,27.04824,4
120.333824,27.04824,4
121.887909,27.04824,4
121.968758,27.04824,4
121.977741,27.04824,4
122.238252,27.04824,4
122.292151,27.04824,4
122.301134,27.04824,4
122.310118,27.04824,4
122.319101,27.04824,4
122.328084,27.04824,4
122.552663,27.04824,4
122.561646,27.04824,4
122.570629,27.04824,4
122.579612,27.04824,4
122.588595,27.04824,4
122.597578,27.04824,4
122.615545,27.04824,4
122.705376,27.04824,4
122.714359,27.04824,4
122.723343,27.04824,4
122.732326,27.04824,4
122.741309,27.04824,4
122.795208,27.04824,4
122.804191,27.04824,4
122.920972,27.04824,4
122.929955,27.04824,4
122.938938,27.04824,5
122.947921,27.04824,5
122.956905,27.04824,6
118.231766,27.05624,4
118.240749,27.05624,4
118.249732,27.05624,5
118.258716,27.05624,6
118.267699,27.05624,7
118.276682,27.05624,12
118.285665,27.05624,16
118.294648,27.05624,23
118.303631,27.05624,30
118.312614,27.05624,35
118.321598,27.05624,35
