name,owner,lat,lng
AmFichtenplanNord,AmFichtenplanNord,52.318183,13.494709
HolzkirchenSüd,HolzkirchenSüd,47.906573,11.717379
LehrterSeeNord,LehrterSeeNord,52.388762,9.996310
RemscheidOst,RemscheidOst,51.158407,7.230332
AuetalNord,AuetalNord,52.223703,9.221469
SpessartNord,SpessartNord,49.898302,9.394346
AachenerLandNord,AachenerLandNord,50.817668,6.213854
OhrenbachOst,OhrenbachOst,49.485555,10.213267
LechwiesenNord,LechwiesenNord,48.059266,10.846791
KöschingerForstOst,KöschingerForstOst,48.836599,11.472234
DonautalWest,DonautalWest,48.589422,13.365369
DenkendorfNord,DenkendorfNord,48.693667,9.303297
SamerbergSüd,SamerbergSüd,47.801229,12.177198
LehrterSeeSüd,LehrterSeeSüd,52.386433,9.998919
EifelOst,EifelOst,50.070186,6.880905
OhrenbachWest,OhrenbachWest,49.484491,10.211978
LüneburgerHeideWest,LüneburgerHeideWest,53.109317,9.981663
DresdnerTorSüd,DresdnerTorSüd,51.060227,13.571959
DammerBergeWest,DammerBergeWest,52.540755,8.112701
RiedenerWaldWest,RiedenerWaldWest,49.944645,10.016529
RiedenerWaldOst,RiedenerWaldOst,49.944184,10.019955
LechwiesenSüd,LechwiesenSüd,48.058328,10.847694
HaidtNord,HaidtNord,49.780852,10.244797
HolzkirchenNord,HolzkirchenNord,47.892208,11.731279
AltenburgerLandNord,AltenburgerLandNord,50.860662,12.307977
AltenburgerLandSüd,AltenburgerLandSüd,50.856750,12.313200
EifelWest,EifelWest,50.068492,6.880212
ThüringerWaldNord,ThüringerWaldNord,50.726454,10.841634
KöschingerForstWest,KöschingerForstWest,48.837085,11.469313
KatzenfurtSüd,KatzenfurtSüd,50.620347,8.362918
DresdnerTorNord,DresdnerTorNord,51.063214,13.571071
ReinhardshainSüd,ReinhardshainSüd,50.622096,8.897196
Nempitz,Nempitz,51.290152,12.137596
FrankenhöheNord,FrankenhöheNord,49.242629,10.352944
FrankenhöheSüd,FrankenhöheSüd,49.241155,10.356121
AuetalSüd,AuetalSüd,52.226977,9.232545
Sangerhausen,Sangerhausen,51.450971,11.305148
SamerbergNord,SamerbergNord,47.802835,12.178503
BayerischerWaldSüd,BayerischerWaldSüd,48.931044,12.705416
e-Mobility-StationWolfsburg,e-Mobility-StationWolfsburg,52.416656,10.783389
BrokenlandeOst,BrokenlandeOst,54.014217,9.933250
OhligserHeideOst,OhligserHeideOst,51.156807,6.964803
OhligserHeideWest,OhligserHeideWest,51.157900,6.961815
LüneburgerHeideOst,LüneburgerHeideOst,53.110044,9.984058
Lutterberg,Lutterberg,51.370391,9.633405
HaidtSüd,HaidtSüd,49.779352,10.246493
OstetalNord,OstetalNord,53.299981,9.532557
Lippetal,Lippetal,51.695845,7.966201
LichtendorfNord,LichtendorfNord,51.468319,7.594014
LichtendorfSüd,LichtendorfSüd,51.467751,7.596959
AachenerLandSüd,AachenerLandSüd,50.817306,6.216629
Bordershop,Bordershop,54.503455,11.225510
A4AutobahnraststätteAggertalNord,A4AutobahnraststätteAggertalNord,50.951687,7.3217962
A44AutobahnraststätteRuraueOst,A44AutobahnraststätteRuraueOst,50.931384,6.340237
A44AutobahnraststätteSoesterBördeSüd,A44AutobahnraststätteSoesterBördeSüd,51.547181,8.133495
A4AutobahnraststätteAggertalSüd,A4AutobahnraststätteAggertalSüd,50.951804,7.320669
A31RaststätteEms-VechteWest,A31RaststätteEms-VechteWest,52.52832,7.199853
A31RaststätteEms-VechteWest,A31RaststätteEms-VechteWest,52.527993,7.196484
